组别,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20
Learner,88.92844639787634,88.36033114062809,88.46702751976107,88.68064707778672,88.89920609929851,89.06178447333285,89.24415320889064,89.71261305906489,90.20510859483203,90.80093543543494,90.82344458909823,89.40850707024153,88.18083593772603,87.51158868401441,87.9143981143967,89.04256838072787,89.36803816256652,88.71938206510256,88.89738628619446,88.9017981495746
Native,88.56482494745747,87.87646696384562,87.85561360864932,88.44600778843756,89.08354317227939,89.94398046673625,90.72132286805919,91.38242740314519,92.41725565443222,92.90841885667257,91.43969995269775,89.43889789219999,88.61905165006466,88.45134367748481,88.49966632824471,88.66342113040554,88.52674922816597,88.25522040375758,88.7892110792463,89.33841585169218
