Filename,Speaker,Group,Gender,Syl_Dur_Ratio,Vow_Dur_Ratio,Delta_Int_Mean,Delta_St_Mean
L1_02_07,L1_02,Native,Male,1.7208415218635658,0.5442479623954681,-1.400828676003698,-0.2960978590343677
L1_02_06,L1_02,Native,Male,0.6522149952200548,1.2743727968849479,1.7911513957416858,-0.647539474014196
L1_02_01,L1_02,Native,Male,1.7834389926011749,1.589713215880154,-0.765606642972017,0.08130086394977187
L1_02_17,L1_02,Native,Male,0.7781238846166313,0.3365937786926372,-1.452888500381519,0.2474056914011351
L1_02_16,L1_02,Native,Male,0.907967632060553,0.9051793147905364,-0.6612418543111218,0.18634800929167739
L1_02_04,L1_02,Native,Male,1.3610318065644842,0.8731077235230124,-0.6150523945037705,-0.28573914658624755
L1_02_05,L1_02,Native,Male,0.754212222318524,0.9623610517091735,0.89442934856568,0.09629151374894107
L1_02_19,L1_02,Native,Male,0.9251092517311699,0.49854870280860597,-6.2954396801655435,0.009585758988871262
L1_02_18,L1_02,Native,Male,1.1168500480496377,0.3811437112655093,0.005241925309675821,0.24658320968851832
L1_02_13,L1_02,Native,Male,1.6513283324000643,,-2.78532844890524,0.2197624704231318
L1_02_12,L1_02,Native,Male,2.2535485099512846,0.4520866813617642,0.3375511196836527,0.991030410350402
L1_02_20,L1_02,Native,Male,0.6592652667088851,0.7459008246020477,-3.47510153843114,-0.23846152623061823
L1_02_14,L1_02,Native,Male,4.302244859742619,2.9829857917019473,1.641280882346969,-0.2886890454852411
L1_02_15,L1_02,Native,Male,0.8244255440562431,,1.3586885909291126,0.14650355020559847
L1_02_09,L1_02,Native,Male,0.6309027841352131,0.5700761918529972,-1.4806130449714772,-0.4979789429608381
L1_02_08,L1_02,Native,Male,1.1986781345565363,1.6494346683266972,-1.1724315341322367,-0.6171430103062914
L1_02_03,L1_02,Native,Male,1.1218105083827008,0.4696578602196437,-0.6597585449794039,-0.17859937094406275
L1_02_02,L1_02,Native,Male,1.4319085599634778,0.4600268840974472,0.39041623869634634,-0.7047536431109234
L2_04_11,L2_04,Learner,Female,1.4182297318245223,0.26905853842322003,-5.76140917211125,-3.4553275868355797
L2_04_10,L2_04,Learner,Female,3.613752886370285,1.166504669799364,-3.261079403966569,-0.013904544721594192
L2_04_06,L2_04,Learner,Female,1.9119243926210974,0.9612296118904216,-2.6647724261222834,0.9744434677582916
L2_04_07,L2_04,Learner,Female,3.917642801296941,1.554304402267042,-1.6153370809081693,0.3827801458939195
L2_04_01,L2_04,Learner,Female,2.627304434479321,1.238940276469254,-1.1414252309537645,1.4035636149790012
L2_04_16,L2_04,Learner,Female,1.3658556855344803,1.1430265777308521,-3.2103108336213424,1.4987447362808197
L2_04_17,L2_04,Learner,Female,1.892934981232199,,-5.300986016137713,-0.4912450838846496
L2_04_05,L2_04,Learner,Female,1.7309740381757228,0.9521681550509905,-6.593519608657914,-3.2895695928939546
L2_04_04,L2_04,Learner,Female,1.312979769738712,0.3748884277786675,-6.773801097392912,0.5428228116111686
L2_04_18,L2_04,Learner,Female,1.4116982434032073,,-4.192975580004273,-0.06272572372462548
L2_04_19,L2_04,Learner,Female,2.0449639398598283,1.0727590796150024,-4.22829096900265,1.2794449212012182
L2_04_12,L2_04,Learner,Female,2.2861458597748894,1.0773781696171865,0.8454131888008192,0.6167111047534526
L2_04_13,L2_04,Learner,Female,1.4886620023245734,0.9799000044760047,-1.0127513260449916,1.3038514107721024
L2_04_20,L2_04,Learner,Female,1.3510544254824748,0.9309021425119043,-4.529617395121214,0.6109112498384874
L2_04_15,L2_04,Learner,Female,1.5379412926766889,1.3768356159773114,-3.9849296058654033,1.2337800304106956
L2_04_14,L2_04,Learner,Female,4.453728212555555,4.818314760425594,2.574939188571925,0.6559187402297866
L2_04_08,L2_04,Learner,Female,1.9463346194317814,1.7130938387696348,-3.2867189371028616,-0.5439267188914556
L2_04_09,L2_04,Learner,Female,1.0182415589594103,0.32751941571812987,-3.677745785232638,-2.3272864778435913
L2_04_02,L2_04,Learner,Female,2.305669203853814,1.0972299329856279,-1.3371149350631555,-0.21207022567149103
L2_04_03,L2_04,Learner,Female,1.5772919026240884,0.4666748172127308,-4.923684097647836,0.23609749418878145
L2_01_06,L2_01,Learner,Male,1.163043753310863,0.6089679731853279,-3.2609333764366752,2.1206405182561614
L2_01_07,L2_01,Learner,Male,2.12794265528988,0.83310623642102,-2.015865992028779,2.0392959429506465
L2_01_11,L2_01,Learner,Male,2.156268188885054,1.0380879820444842,-3.4909482940921563,-2.8523998854315806
L2_01_10,L2_01,Learner,Male,2.3862484248589078,0.8971800756009225,-0.31544635864990056,0.9451620424099625
L2_01_16,L2_01,Learner,Male,0.6499563197796815,0.4561248368881112,0.899591945870597,1.375242958956329
L2_01_17,L2_01,Learner,Male,0.9005714117369017,0.36747848567485525,-1.7863034126015833,2.919085683597142
L2_01_01,L2_01,Learner,Male,1.6306008085870882,1.0571428571428574,-4.022456564878155,1.9255917019253757
